Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Reação ao medicamento, pare a irritação, consulte o hospital mais próximo, pare de tomar o medicamento, faça o acompanhamento
Malária, consulte o hospital mais próximo, evite alimentos oleosos, evite alimentos não vegetais, mantenha os mosquitos afastados
Alergia, aplique calamina, cubra a área com curativo,, use gelo para comprimir a coceira
Hipotireoidismo, reduza o estresse, faça exercícios, alimente-se de maneira saudável, durma bem
Psoríase, lave as mãos com água morna e sabão, pare o sangramento com pressão, consulte um médico, banhos de sal
Refluxo gastroesofágico, evite comidas picantes e gordurosas, evite deitar-se depois de comer, mantenha um peso saudável, faça exercícios
Colestase crônica, banhos frios, remédio contra coceira, consultar um médico, alimentação saudável
Hepatite A, consulte o hospital mais próximo, lave as mãos, evite alimentos gordurosos e apimentados, medicamentos
Artrose, paracetamol, consultar o hospital mais próximo, acompanhamento, banhos de sal
Vertigem Posicional paroxística benigma, deitar, evitar mudanças repentinas no corpo, evitar movimentos abruptos da cabeça, relaxar
Hipoglicemia, deitar de lado, verificar o pulso, beber bebidas açucaradas, consultar um médico
Acne, banho duas vezes, evite comidas picantes e gordurosas, beba muita água, evite muitos produtos
Diabetes, fazer dieta balanceada, fazer exercícios, consultar um médico, fazer acompanhamento
Impetigo, molhe a área afetada em água morna, use antibióticos, remova crostas com pano úmido comprimido, consulte um médico
Hipertensão, meditação, banhos de sal, reduza o estresse, durma bem
Doença de úlcera péptica, evite alimentos gordurosos e condimentados, consuma alimentos probióticos, elimine leite, limite o álcool
Hemorróidas, evite alimentos gordurosos e condimentados, consuma hamamélis, banho quente com sal de epsom, consuma suco de aloe vera
Resfriado comum, beber bebidas ricas em vitamina C, inalação, evitar alimentos frios, manter a febre sob controle
Catapora, usar nim no banho, consumir folhas de nim, tomar vacina, evitar locais públicos
Espondilose, usar almofada térmica ou compressa fria, fazer exercícios, tomar um analgésico, consultar um médico
Hipertireoidismo, alimentação saudável, massagem, uso de erva-cidreira, tratamento com iodo radioativo
Infecção urinária, beber muita água, aumentar a ingestão de vitamina C, beber suco de cranberry, tomar probióticos
Varizes, deitar e levantar a perna, usar pomadas, usar compressão das veias, não ficar parado por muito tempo
AIDS, evite cortes abertos, use EPIs se possível, consulte um médico, faça o acompanhamento
Paralisia (hemorragia cerebral), massagem, alimentação saudável, exercícios, consultar um médico
Tifóide, comer vegetais com alto teor calórico, terapia antibiótica, consultar um médico, medicamentos
Hepatite B, consultar o hospital mais próximo, vacinação, alimentação saudável, medicamentos
Infecção por fungos, banho duas vezes, use detol ou nim na água do banho, mantenha a área infectada seca, use panos limpos
Hepatite C, consultar o hospital mais próximo, vacinação, alimentação saudável, medicação
Enxaqueca, meditação, reduzir o estresse, usar óculos poloroidais ao sol, consultar um médico
Asma brônquica, mude para roupas soltas, respire fundo, afaste-se do gatilho, procure ajuda
Hepatite alcoólica, interromper o consumo de álcool, consultar um médico, medicação, acompanhamento
Icterícia, beber muita água, consumir cardo leiteiro, comer frutas e alimentos ricos em fibras, medicamentos
Hepatite E, interrompa o consumo de álcool, descanse, consulte um médico, medicação
Dengue, beba suco de folha de mamão, evite comidas gordurosas e apimentadas, mantenha os mosquitos longe, mantenha-se hidratado
Hepatite D, consultar médico, medicação, alimentação saudável, acompanhamento
Ataque cardíaco, chame uma ambulância, mastigue ou engula aspirina, mantenha a calma,
Pneumonia, consultar médico, medicação, repouso, acompanhamento
Artrite, exercício, uso de terapia quente e fria, experimente acupuntura, massagem
Gastroenterite, pare de comer alimentos sólidos por um tempo, tente tomar pequenos goles de água, descanse, relaxe e volte a comer
Tuberculose, tapar a boca, consultar um médico, medicação, descansar
